qid	year	label	no	content_verbatim	content_fixed	choice_a	choice_b	choice_c	choice_d	answer	chapter	attachment_link	mixed_choices
GEGp0qZY	2017	1.3	2	Dans l'atmosphère standard, la température au niveau de la mer est de :		0 °C	10 °C	15 °C	20 °C	2			
QHgBGxC0	2017	1.4	3	L'instrument utilisé pour mesurer la vitesse du vent en surface est :		une girouette placée sur un pylône	un anémomètre placé sur un pylône	un ballon sonde	un baromètre placé sur un pylône	1	3.4.		True
anVcx0TW	2017	1.5	4	Sur une carte de pression une ligne qui joint les points d'égale pression est nommée :		une isotherme	une isocline	une isohypse	une isobare	3			
iL0rHz8E	2017	1.6	5	« marais barométrique » désigne :		une zone où la pression varie peu	une zone ou un axe de basses pressions	une zone ou un axe de hautes pressions	une zone où le gradient de pression est très élevé	0			
5MOAvDqL	2017	1.7	6	Sur le schéma d'une perturbation présenté ci-dessous, le numéro qui correspond au secteur chaud est :		1	2	3	4	2		https://annales-bia.fr/images/m1-2017.gif	
7skORGZ6	2017	1.8	7	Au niveau d'un front chaud :		l'air chaud repousse l'air froid devant lui et passe au-dessus	l'air froid repousse l'air chaud devant lui et passe au-dessus	l'air froid repousse l'air chaud devant lui et passe au-dessous	l'air chaud repousse l'air froid devant lui et passe au-dessous	0			
0dzMM4yG	2017	1.9	8	Si un observateur se place face au vent dans l'hémisphère nord, la dépression et l'anticyclone se situent de la manière suivante :		anticyclone sur sa droite, dépression sur sa gauche	anticyclone devant lui, dépression derrière lui	anticyclone sur sa gauche, dépression sur sa droite	anticyclone derrière lui, dépression devant lui	2			
mdaMyWoX	2017	1.10	9	Le phénomène rentrant le plus souvent en jeu dans la formation des nuages est :		le refroidissement d'une masse d'air humide	l'augmentation de la pression atmosphérique	le réchauffement d'une masse d'air saturée	l'assèchement d'une masse d'air humide	0			
KdogzrXR	2017	1.11	10	Le préfixe des nuages dont la base est la plus élevée est :		alto	strato	cirro	cumulo	2			
x5eYtBsM	2017	1.12	11	Le nuage figurant sur la photo ci-dessous est un :		cumulonimbus	cumulus	stratus	altocumulus	1		https://annales-bia.fr/images/m2-2017.gif	
FiVt4U1o	2017	1.13	12	Le phénomène météorologique observé sur la photo ci-dessous est :		du brouillard	un orage	un front chaud	la convection	0		https://annales-bia.fr/images/m3-2017.gif	
oVcUCrz8	2017	1.14	13	La grêle est un type de précipitation qui se forme dans :		les stratus	les nimbostratus	les cumulonimbus	les stratocumulus	2			
R4TK9rHD	2017	1.15	14	Les courants de vent puissants que l'on rencontre à très haute altitude sont nommés :		jet-stream	jet-lag	tornade	rafale	0			
ej7uoYFN	2017	1.16	15	La brise de pente (montante) se forme en région :		côtière et de jour	côtière et de nuit	montagneuse et de nuit	montagneuse et de jour	3			
YNCx1SRp	2017	1.17	16	Sur la carte ci-dessous, la circulation du vent dénommé Mistral correspond à la flèche :		1	2	3	4	2		https://annales-bia.fr/images/m4-2017.gif	
B0JBNtN2	2017	1.18	17	En plaine, dans les basses couches de l'atmosphère, les turbulences sont générées par :		l'onde	les trous d'air	la convection	le brouillard	2	3.5.		True
FmD1ZIxS	2017	1.19	18	Le principal danger induit par le brouillard sur le vol est :		la formation de givrage possible en toutes saisons	la turbulence associée	la diminution de la visibilité	le risque de foudroiement	2			
TbE7wW6y	2017	1.20	19	Parmi les éléments suivants, une conséquence possible du givrage est :		gain d'altitude	altération des profils aérodynamiques	amélioration des performances de l'aéronef	diminution de la traînée	1			
YmMqTEPa	2017	2.1	20	Sur le profil de l'aile, la vitesse de l'écoulement de l'air :		est constante sur l'intrados et l'extrados	diminue sur l'intrados et augmente sur l'extrados	diminue sur l'extrados et augmente sur l'intrados	diminue sur l'intrados et l'extrados	1	2.1.		True
X3kVvv8i	2017	2.2	21	En vol normal, sur ce profil, l'écoulement entre le point A et le point T est :		tourbillonnaire	turbulent	de vitesse constante	laminaire	3	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FMTK78AdYS22bQhehcfgN?alt=media&token=bfcc3775-59ff-4cd8-8075-1e5061f9317d	True
Q0wVRQDG	2017	2.3	22	La force parallèle, de même sens que le vent relatif Vr est :		la portance	la traînée	le poids	la résultante aérodynamique	1	2.1.		True
TKwjpwkR	2017	2.4	23	Si en vol la température extérieure augmente fortement, la portance :	Si en vol la température augmente fortement, la portance :	augmente fortement	reste constante	augmente faiblement	diminue	3	2.1.		True
EQNZVBr9	2017	2.5	24	Les paramètres intervenant dans la formule de la portance sont :		la vitesse et la surface alaire de l'aile	la masse volumique et le poids de l'avion	le coefficient de portance et le poids des ailes	la vitesse et le coefficient de traînée	0	2.1.		True
EE19QBvv	2017	2.6	25	Avec la polaire suivante, le Cz max est obtenu à :	Avec la polaire ci-contre, le Cz max est obtenu à :	1,3° d'incidence	4° de température	17° de température	17° d'incidence	3	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FpSvp85KH4DPKSFfVdXah?alt=media&token=e700f7e9-fef6-4776-afc9-90d6960aa90b	True
owfv2hIi	2017	2.7	26	Sur la figure suivante, l'angle Y représente :	Sur la figure ci-contre, l’angle Y représente :	l'angle de dièdre	l'angle de flèche	l'angle d'incidence	l'angle de calage	0	2.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FYF0DfHOGOxpvwBvSGJ7p?alt=media&token=8d31eb71-841d-4564-9942-ce00d115854d	True
k8ESYOvC	2017	2.8	27	L'angle de calage d'une aile est compris entre :		la corde de profil de l'aile et l'axe longitudinal de l'avion	la corde de profil de l'aile et le vent relatif	le plan de l'aile et l'horizontale	le bord d'attaque et la perpendiculaire de l'axe avion	0			
D6vDb03R	2017	2.9	28	L'angle de pente est :		l'angle entre l'horizontale et l'axe longitudinal de l'avion	l'angle entre la corde de profil de l'aile et le vent relatif	l'angle affiché sur l'horizon artificiel du pilote	l'angle entre l'horizontale et la trajectoire réelle de l'avion	3			
f1ljyPGY	2017	2.10	29	L'air autour du profil de l'aile est :		en dépression sur l'extrados et en surpression sur l'intrados	en surpression sur l'extrados et en dépression sur l'intrados	en dépression sur l'extrados et l'intrados	en surpression sur l'extrados et l'intrados	0	2.1.		True
8jeUwP8g	2017	2.11	30	Lorsqu'un aéronef est en vol horizontal stabilisé :		la portance équilibre la traction et le poids équilibre la traînée	la portance équilibre le poids et la traînée équilibre la traction	la portance équilibre la traînée et le poids équilibre la traction	toutes les forces sont différentes	1	2.2.		True
4Z4IrzPX	2017	2.12	31	Ce qui assure la plus grande stabilité d'un aéronef est :		le dièdre et la flèche positifs	le dièdre négatif et la flèche nulle	le dièdre et la flèche négatifs	le dièdre positif et la flèche nulle	0			
A8h8qGve	2017	2.13	32	Pour passer en régime de montée stabilisée, le pilote doit :		réduire la puissance moteur	tirer sur le manche et conserver la même puissance moteur	tirer sur le manche et augmenter la puissance moteur	pousser sur le manche et réduire la puissance moteur	2	2.2.		True
OHFnKCSc	2017	2.14	33	En vol, si le pilote tire fortement sur le manche, le facteur de charge :		augmente	diminue	reste constant	devient nul	0			
MlzblS6b	2017	2.15	34	À incidence et puissance constantes, la mise en virage d'un avion entraîne :		un maintien de l'altitude	un gain d'altitude	une perte d'altitude	une diminution de la vitesse	2			
alRnB1AE	2017	2.16	35	Un planeur de finesse 50 vole en ligne droite à 2000 m d'altitude dans un air stable. La distance maximale qu'il peut parcourir sans ascendance est de :		10 km	25 km	40 km	100 km	3	2.1.		True
djvCqzyN	2017	2.17	36	Lorsque la somme des forces qui s'appliquent à un ballon libre est nulle :		le ballon est en situation d'équilibre	le ballon est en montée	le ballon est en descente	le ballon se dégonfle	0	2.3.		True
EtwavVST	2017	2.18	37	En cas d'élévation de température extérieure, la force ascensionnelle d'un aérostat :		n'évolue pas	augmente	diminue	dépend exclusivement du vent	2	2.3.		True
UTQonDoa	2017	2.19	38	En orbite circulaire à 36000 km, la durée d'une révolution (tour complet) d'un satellite est de :		90 min	120 min	12 heures	24 heures	3	2.3.		True
4WiMhShM	2017	2.20	39	Le poids d'un satellite tournant autour d'un astre est :		compensé par sa force de portance	compensé par sa force centrifuge	compensé uniquement par ses moteurs fusées	nul car il est en apesanteur	1			
x86pt3oG	2017	3.1	40	Sur la figure 1 ci-contre, les axes ZXY représentent :	Sur la figure, les axes ZXY représentent :	Z lacet, X roulis, Y tangage	Z roulis, X tangage, Y lacet	Z lacet, X tangage, Y roulis	Z tangage, X roulis, Y lacet	0	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FlAcAH1p38WfoBBdYtPpc?alt=media&token=acfa622c-1ec2-4001-8f3d-4310b94ed849	True
XHdNgKg7	2017	3.2	41	Pour effectuer une rotation autour de l'axe Z (voir la figure 1 de la question précédente) il faut actionner :		les ailerons	la gouverne de profondeur	la gouverne de direction	les volets	2			
Wqb0izBq	2017	3.3	42	La figure 1 représente un avion :		à aile haute, train classique	à aile médiane, train tricycle	à aile basse, train classique	à aile haute, train tricycle	3	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FWY2y3pCQytCGjkEMcdaU?alt=media&token=ed495e4e-2d64-487d-8292-a1f3081d0c6b	True
foalyXvh	2017	3.4	43	On appelle emplanture de l'aile :		la partie située à la jonction aile-fuselage	le dessous de l'aile	la partie la plus fine d'une aile	la partie extrême de l'aile aussi appelée « saumon »	0	1.1.		True
ZnYjyPML	2017	3.5	44	Au sol, le carburant contenu dans une aile, entraîne sur les longerons :		un effort de cisaillement	un effort de flexion	un effort de torsion	n'a pas d'influence sur la structure de l'aile	1	1.1.		True
2wSYuIDQ	2017	3.6	45	Sur le plan ci-contre, la combinaison correcte est :	Sur le plan, la combinaison correcte est :	1 : aileron, 2 : saumon, 3 : volet, 4 : gouverne de profondeur	1 : volet, 2 : saumon, 3 : aileron, 4 : gouverne de profondeur	1 : aileron, 2 : saumon, 3 : volet, 4 : gouverne de direction	1 : aileron, 2 : tab, 3 : volet, 4 : gouverne de direction	0	1.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FNdxaF00ULgMmFgz88EuY?alt=media&token=865692fc-b22f-48a1-a750-f413ad4e9c8a	True
biQ0ZjS1	2017	3.7	46	Parmi les dispositifs suivants, lequel n'est pas un dispositif hypersustentateur ?		les volets à fente	les becs de bord d'attaque	les aérofreins	les volets Fowler	2	2.1.		True
91b4jiLY	2017	3.8	47	Un avion a les caractéristiques suivantes : envergure 10 mètres, épaisseur relative de l'aile 0,20 mètres, profondeur moyenne de l'aile 1 mètre. Sachant que cette aile est rectangulaire, son allongement est de :	Un avion a les caractéristiques suivantes : envergure : 10 m, épaisseur relative de l’aile : 0,20 m, profondeur moyenne de l’aile : 1 m. Sachant que cette aile est rectangulaire, son allongement est de :	10	50	60	100	0	1.1.		True
ron0np3m	2017	3.9	48	Un déplacement du manche vers la droite :		abaisse simultanément les ailerons	lève l'aileron droit et baisse l'aileron gauche	relève simultanément les ailerons	baisse l'aileron droit et lève l'aileron gauche	1	1.1.		True
3ahTUlhJ	2017	3.10	49	Sur une hélice à pas variable, le “ plein petit pas ” est utilisé pour le :		vol en croisière	vol à haute altitude	vol à grande vitesse	décollage	3	1.3.		True
FYbP3Xoh	2017	3.11	50	L'indication donnée par cet instrument est :		virage à droite inclinaison 30°	virage à gauche inclinaison 30°	vol en palier	virage à droite inclinaison 10°	0		https://annales-bia.fr/images/c3-2017.gif	
0TZawRtN	2017	3.12	51	La plupart des moteurs d'avions légers est équipée d'un système de double allumage qui a pour principal avantage :		de réguler la consommation électrique	de réduire la consommation de carburant	d'améliorer la combustion et d'augmenter la sécurité en vol	de diminuer l'usure des bougies	2	1.3.		True
Hlo2EYVT	2017	3.13	52	Un avion à ailes en flèche est représenté par la figure :						1			
ZW3aupAp	2017	3.14	53	L'horizon artificiel fournit des indications sur :		les variations d'altitude	la symétrie du vol	la visibilité horizontale	l'assiette de l'avion et son inclinaison	3			
blbcb0PF	2017	3.15	54	Une des caractéristiques d'un autogire est :		son rotor est constamment entraîné par le moteur	son rotor est entraîné par le vent relatif	son rotor est utilisé pour la propulsion	son rotor est doté d'un pas collectif	1	1.1.		True
R0qtirsE	2017	3.16	55	L'instrument qui exploite les variations de volume d'une capsule soumise à une variation de pression est :		l'altimètre	la centrale inertielle	l'horizon artificiel	l'indicateur de cap	0	1.2.		True
fkixv2zd	2017	3.17	56	Pour afficher une vitesse, l'anémomètre mesure uniquement :		la pression statique	la pression totale	la pression statique et la pression totale	la pression totale et la pression dynamique	2	1.2.		True
owzNTZSO	2017	3.18	57	Sur un indicateur de vitesse, VNE représente :		la vitesse conseillée en utilisation normale	la vitesse en vol croisière	la vitesse de décrochage	la vitesse à ne jamais dépasser	3	1.2.		True
qOFR96Al	2017	3.19	58	L'intérêt de l'utilisation des matériaux composites en construction aéronautique est :		une meilleure conductibilité électrique	une meilleure recyclabilité	un allègement de la structure	le coût de la matière première	2			
Lrcj20Mc	2017	3.20	59	Les lanceurs spatiaux utilisent principalement des propulseurs fonctionnant :		au kérosène	à l'oxygène et l'hydrogène	au méthane	au gasoil	1	1.3.		True
bID99KIc	2017	4.1	60	La hauteur minimale de survol d'un rassemblement de plus de 100 000 personnes est :		150 m	1500 m	2000 m	3000 m	1	4.1.		True
uSDhfsa4	2017	4.2	61	Le vol VFR est :		un vol effectué dans des conditions de vol à vue	un vol effectué dans des conditions de vol aux instruments	un vol de type commercial	un vol limité au tour de piste	0			
YyBPyhhK	2017	4.3	62	Sur une carte au 1/500 000ème, une distance mesurée de 10 cm correspond à une distance de :		5 km	15 km	50 km	150 km	2	4.3.		True
GVpzvkrL	2017	4.4	63	La masse approximative d'un litre d'essence est de l'ordre de :		550 g	750 g	1050 g	1250 g	1	4.3.		True
qktEDeyj	2017	4.5	64	Une piste dont l'orientation magnétique est de 113 sera numérotée :		11	12	29	110	0	4.1.		True
GK6JlgvW	2017	4.6	65	Un METAR est :		un avis qui mentionne la modification d'une installation	un message d'alerte et de danger	un service d'assistance et de secours	un message météorologique régulier	3	4.3.		True
3WLjI2Ct	2017	4.7	66	La règle d'évitement d'un aéronef qui dépasse un autre aéronef est :		évitement par la gauche	évitement par la droite	évitement par le haut	évitement par le bas	1	4.1.		True
QZM3Vdaz	2017	4.8	67	Sur le schéma ci-contre représentant le tour de piste, le repère X indique :	Sur le schéma représentant le tour de piste, le repère X indique :	la vent arrière	l'étape de base	la finale	le dernier virage	2	4.1.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FeMWwoTdHWMsQ4ndR1LkM?alt=media&token=a98c0a4c-0249-4198-a367-39599c312428	True
ciS7Y6O3	2017	4.9	68	Sur une fréquence radio un aéronef immatriculé F-GTAX s'identifie :		Fox-Trot-Golf-Tango-Alpha-X-Ray	Fox-Golf-Tango-Alpha-Xilo	French-Golf-Tango-Alpha-X-Ray	Fox-Trot-Golf-Tango-Alpha-Xilo	0	4.1.		True
WoKV1GLO	2017	4.10	69	Sur une carte, une zone identifiée par la lettre « P » correspond à :		une zone interdite provisoirement	une zone à la pénétration restreinte sous certaines conditions	une zone à la pénétration interdite	une zone dangereuse	2	4.1.		True
ndea1GBa	2017	4.11	70	Un aérodrome ouvert à la CAP :		n'est ouvert qu'aux appareils d'Etat	est ouvert à la circulation aérienne publique	est interdit aux ULM	nécessite un certificat d'aptitude à se poser	1			
BSzvFxQ8	2017	4.12	71	Une CTR est :		un espace aérien militaire de haute altitude	une zone interdite jusqu'au sol	une zone d'expérimentation provisoire	un espace aérien contrôlé aux abords d'un aérodrome	3	4.1.		True
gH3P4158	2017	4.13	72	Un paramoteur est :		un aéronef classé dans la règlementation vol libre	un aéronef classé dans la règlementation du parachutisme	un aéronef classé dans la réglementation ULM	un aéronef classé dans la règlementation des drones	2	4.1.		True
6pzpzHQu	2017	4.14	73	Sur un aérodrome non contrôlé, l'éventuelle fréquence sur laquelle les pilotes peuvent échanger de l'information est nommée :		fréquence d'auto-information	fréquence d'alerte	fréquence de courtoisie	fréquence de détresse	0	4.1.		True
Q9ZttpVW	2017	4.15	74	En France les fédérations aéronautiques et sportives sont regroupées dans un organisme dont le sigle est :		GIFAS	FNAM	DGAC	CNFAS	3	4.1.		True
0Em1YFa5	2017	4.16	75	La fédération française qui prend en charge l'aéromodélisme est :		la FFA	la FFAM	la FFVL	la FNAM	1			
3j4zmaNP	2017	4.17	76	Dans un planeur, le parachute est :		obligatoire pour tous les occupants	obligatoire uniquement pour le pilote	n'est pas obligatoire	obligatoire uniquement en compétition	0	4.1.		True
RfmGKG0J	2017	4.18	77	Le taux d'alcoolémie maximum autorisé pour piloter doit être inférieur ou égal à :		0,2 gramme par litre de sang	0,3 gramme par litre de sang	0,4 gramme par litre de sang	0,5 gramme par litre de sang	0	4.1.		True
1h0x23xO	2017	4.19	78	En phase d'atterrissage, une remise des gaz doit être considérée :		comme une manœuvre à éviter dans l'aviation commerciale	comme une manœuvre spécifique au vol en instruction	comme une saine décision en cas de mauvaise approche	comme une erreur de pilotage	2	4.3.		True
jDi0N8ok	2017	4.20	79	La plupart des accidents ont lieu :		en vol de croisière en raison d'un arrêt moteur	en vol par collision	au-dessus des zones maritimes	au décollage et à l'atterrissage	3	4.2.		True
Ih9nq6Bv	2017	5.1	80	En 1752 Benjamin Franklin démontre l'origine électrique de la foudre à l'aide d'un engin en vol dans un ciel d'orage. Il s'agit :		d'une fusée pyrotechnique	d'un cerf volant	d'un ballon à gaz	d'un ballon à air chaud	1	5.		True
hZheRhLZ	2017	5.2	81	"En 1858, Felix Tournachon dit ""Nadar"", fut le premier à réussir depuis la nacelle d'un ballon à gaz :"		un relevé de pression atmosphérique en haute altitude	une mesure précise de vitesse d'ascension	une photographie aérienne de Paris	la mesure de la déclinaison du champ magnétique terrestre	2	5.		True
nptWTAb2	2017	5.3	82	En 1797, un aérostier effectue depuis la nacelle d'une montgolfière le premier saut en parachute de l'Histoire. Cet aéronaute s'appelle :		le marquis d'Arlandes	Jacques Charles	André-Jacques Garnerin	Pilatre de Roziers	2			
D5PduKrI	2017	5.4	83	En 1871, Paris est assiégé par les prussiens. Toutefois, Léon Gambetta ministre du gouvernement provisoire parvient à s'évader grâce à :		un dirigeable	un avion	un parachute ascensionnel	un ballon à gaz	3	5.		True
0CxAevYa	2017	5.5	84	Le premier dirigeable qui, partant de Saint-Cloud, parvint à contourner la Tour Eiffel en 1901 était piloté par :		Clément Ader	Gaston Tissandier	Alberto Santos Dumont	Otto Lilenthal	2	5.		True
S4gDuUKE	2017	5.6	85	Louis Blériot accomplit le premier la traversée en avion de :		la Manche en 1909	la Manche en 1927	l'Atlantique en 1909	l'Atlantique en 1927	0	5.		True
7plWKuzZ	2017	5.7	86	Les premières compétitions aériennes avant la première guerre mondiale ont été soutenues par de grands donateurs comme :		Michelin	Dassault	Chanel	Lacoste	0			
j9ctIK68	2017	5.8	87	Durant la première guerre mondiale, des ballons captifs furent utilisés pour observer les armées adverses. On les appelait familièrement :		flûtes	cigares	saucisses	hannetons	2	5.		True
Z8hPt1uT	2017	5.9	88	En 1916, Marcel Dassault (qui s'appelait Marcel Bloch à l'époque) a conçu :		un train d'atterrissage	un profil d'aile	une hélice	un pilote automatique	2	5.		True
369lnP2O	2017	5.10	89	En 1921, Adrienne Bolland fut la première aviatrice à traverser :		la Cordillère des Andes	les Alpes	la Méditerranée entre le continent et la Corse	le continent antarctique	0			
YKa8gBh5	2017	5.11	90	"En 1930, un pilote de l'Aéropostale s'écrase dans les Andes. Après 5 jours et 4 nuits, il finit par retrouver la civilisation. À un ami il confie : ""Ce que j'ai fait, je te le jure, aucune bête ne l'aurait fait !"". Il s'appelait :"		Jean Mermoz	Pierre-Georges Latécoère	Antoine de Saint-Exupery	Henri Guillaumet	3	5.		True
LuO2nyqp	2017	5.12	91	Dans les années 1930, les allemands deviennent les leaders mondiaux dans la construction des planeurs. Ce succès est dû en grande partie :		à une absence totale d'approvisionnement en carburant	à leur industrie du balsa	à l'interdiction qui leur est imposée de constituer une aviation militaire motorisée après la guerre 14-18	aux polymères qu'ils utilisent pour obtenir des surfaces de voilures très lisses	2			
pOyvITRX	2017	5.13	92	En 1936, disparaît Jean-Mermoz à bord de son Latécoère 300 lors d'une traversée de l'Atlantique Dakar-Natal en équipage. L'avion s'appelait :		l'Oiseau blanc	le Spirit of Saint Louis	la Croix du sud	l'Eole	2	5.		True
3hOyH7Oj	2017	5.14	93	Maryse Bastié fut la première aviatrice à traverser l'Atlantique sud de Dakar à Natal en :		1925	1936	1945	1950	1	5.		True
8CLQPK7P	2017	5.15	94	En 1944, la Luftwaffe met en service un avion construit par Messerschmitt dont la particularité est d'être :		entièrement en matériaux de synthèse	à voilure variable	à voilure tournante	à réaction	3	5.		True
6IqzzhRi	2017	5.16	95	Au lendemain de la Seconde Guerre mondiale, les américains recrutent l'un des meilleurs spécialistes allemands en techniques aérospatiales. Il s'agit de :		Junkers	Messerschmitt	Stuka	Von Braun	3			
7fQH87WJ	2017	5.17	96	L'équipage de la mission spatiale Apollo 13 menée en 1970 par les Etats-Unis pour explorer la Lune a été :		victime d'une grave avarie le mettant en péril	le premier à s'être posé sur la Lune	le dernier à s'être posé sur la Lune	victime d'un accident au sol	0			
suyvROfh	2017	5.18	97	Le développement d'Airbus s'est bâti sur une coopération franco-allemande à partir du :		milieu des années 70	milieu des années 80	début des années 90	début des années 2000	0	5.		True
3KkOKqjk	2017	5.19	98	L'objectif de la sonde Rosetta, lancée en 2004 et parvenue à destination 10 ans plus tard, était :		d'observer les éruptions solaires	de poser un atterrisseur sur une comète pour analyser sa composition	de vérifier les conditions d'un voyage vers Mars	de transporter des témoignages pour d'éventuelles civilisations extra-terrestres	1			
XbkczJuy	2017	5.20	99	En 2009, Airbus inaugure le premier vol commercial du plus grand avion civil au monde. Cet avion s'appelle :		A400M	A380	Triple 7	BELUGA	1			
WdwzV4NR	2017	F.1	100	En anglais, la gouverne de profondeur est appelée :		flaps	wing	elevator	rudder	2			
zc2QHUzf	2017	F.2	101	"En décrivant un aéronef, l'expression ""tailwheel airplane"" est employée pour signifier qu'il s'agit d'un avion :"		à train rentrant	avec moteur de queue	à train classique	tricycle	2	6.		True
oH1skyZD	2017	F.3	102	Les aérofreins sont appelés :		airflow controlers	wingbrakes	airbrakes	windbrakes	2			
9Ma984gf	2017	F.4	103	When I pull the stick of an airplane backwards :		the left aileron moves up	the left flap moves down	the flaps and airbrakes move down	the elevator moves up	3	6.		True
WusvXn0q	2017	F.5	104	À la radio l'indication « number one, clear to land, runway one one » émise par le contrôleur signifie :		numéro 1 autorisé à l'atterrissage sur la piste 11	autorisé à l'atterrissage piste 1 ou 11	autorisé à l'atterrissage piste 11, vous dégagerez par la sortie n°1	autorisé au décollage piste 1 ou piste 11	0	6.		True
5UVJ4ooN	2017	F.6	105	En anglais, la poussée d'un moteur se dit :		pull	drag	thrust	lift	2			
gBxU7qVl	2017	F.7	106	Dans un message météo, le sigle CAVOK signifie :		capacity and visibility OK	ceiling and visibility OK	capacity and view OK	cloud and view OK	1			
vVfl2zBA	2017	F.8	107	On an airplane, the movement of the nose up or down is :		rolling	pitching	banking	yawing	1	6.		True
SVHMav41	2017	F.9	108	Un vent de face se dit :		headwind	tailwind	face gust	ahead gust	0			
AEjqTzwg	2017	F.10	109	An auxiliary power unit is :		a turbine engine that provides mechanical power for the accessory drive gear box	a ram air turbine that delivers mechanical power for accessories gearbox	an electric battery used in case of emergency	a ram air turbine used in case of emergency	0	6.		True
7vJjkayw	2017	F.11	110	« Fox Victor Bravo, line up, clear for take-off runway three one left. » signifie :		Fox Victor Bravo, alignez-vous, autorisé à l'atterrissage, piste 31 gauche	Fox Victor Bravo, alignez-vous, temps clair pour le décollage, piste 31 gauche	Fox Victor Bravo, alignez-vous, autorisé au décollage, piste 31 droite	Fox Victor Bravo, alignez-vous, autorisé au décollage, piste 31 gauche	3			
Oy2mLpLE	2017	F.12	111	« Leading edge » signifie :		bord d'attaque	bord de fuite	longeron	lisse	0			
9JJpGklE	2017	F.13	112	« Trailing edge » signifie :		bord d'attaque	bord de fuite	dérive	lisse	1	6.		True
3fcZbaJX	2017	F.14	113	"L'expression ""prendre un cap"" se dit :"		to set a heading	to fix a magnetic course	to take a road	to take a cap	0			
3Fx4jRWS	2017	F.15	114	L'expression « the flight controls » fait référence :		aux contrôles en vol des équipages	aux contrôleurs aériens	aux commandes de vol	à la tour de contrôle	2	6.		True
aIw8UU5U	2017	F.16	115	"You can read ""two thousands feet"" on :"		a voltmeter	a tachometer	an altimeter	an airspeed indicator	2	6.		True
fsXOgJ45	2017	F.17	116	Les « strobe lights » sont :		les feux de brouillard	les feux d'atterrissage	les feux de navigation	les feux à éclat	3			
aG6pMsDE	2017	F.18	117	La « True Air Speed », ou TAS, représente :		la vitesse au sol d'un avion	la vitesse propre d'un avion	la vitesse d'un avion par rapport aux nuages	la vitesse de croisière d'un avion	1	6.		True
E7BeQiCz	2017	F.19	118	La « Ground Speed », ou GS, représente :		a vitesse propre d'un aéronef	la vitesse d'un aéronef par rapport aux nuages	la vitesse de croisière d'un aéronef	la vitesse sol d'un aéronef en vol	3	6.		True
t8f7M3F2	2017	F.20	119	En Anglais un hydravion se nomme :		seaplane	hydroplane	floatting craft	seacraft	0			
SYa3DNpp	2018	1.1	0	L'atmosphère est composée majoritairement :		de dioxyde de carbone (CO2)	de dioxygène (O2)	de diazote (N2)	d'argon (Ar)	2	3.1.		True
zVc8XJ0L	2018	1.2	1	La couche de l'atmosphère où se concentre la très grande majorité des phénomènes météorologiques est la :		stratosphère	troposphère	mésosphère	thermosphère	1	3.1.		True
goAfp0Bj	2018	1.3	2	A la latitude de Paris, l'altitude et la température moyennes de la tropopause (atmosphère standard) sont :		7 km d'altitude et -45 °C	11 km d'altitude et -56 °C.	17 km d'altitude et -45 °C.	11 km d'altitude et -80 °C.	1	3.1.		True
40FhnBTO	2018	1.4	3	Le moyen le plus courant de mesure de la vitesse et de la direction du vent en altitude est :		la girouette	la manche à air	l'anémomètre	le ballon sonde	3	3.4.		True
1E4TBZth	2018	1.5	4	L'unité utilisée pour exprimer la vitesse du vent dans les messages et cartes météorologiques destinés à l'aéronautique (dossiers de vol) est :		le nœud	le kilomètre par heure	le mètre par seconde	le pied par minute	0	3.6.		True
TU4pkfFv	2018	1.6	5	Le phénomène de transformation de l'eau de l'état liquide à l'état gazeux est la :		sublimation	condensation	vaporisation	fusion	2	3.3.		True
8oNgZwPE	2018	1.7	6	La Terre reçoit l'énergie solaire émise par :		rayonnement	conduction	convection	advection	0	3.1.		True
pLKckv3n	2018	1.8	7	Le phénomène de convection est le plus intense :		l'hiver, pendant l'après-midi	l'hiver, pendant la nuit et tôt le matin	l'été, pendant l'après-midi	l'été, pendant la nuit et tôt le matin	2	3.1.		True
w1SF71UM	2018	1.9	8	Une vaste région où la pression est inférieure à 1015 hPa, et dont la pression minimale est située au centre s'appelle :		une dorsale	une dépression	un thalweg	un anticyclone	1	3.2.		True
W1RQhTyw	2018	1.10	9	Sur la carte des champs de pression ci-contre, la pression atmosphérique la plus élevée règne sur la ligne isobare :	Sur la carte des champs de pression, la pression atmosphérique la plus élevée règne sur la ligne isobare :	1	2	3	4	1	3.2.	https://firebasestorage.googleapis.com/v0/b/bia-af.appspot.com/o/questions%2FMzcEmmHjeF3O3O0mtZcs?alt=media&token=62a1965e-4dad-44fa-902b-0e7b40869197	True
gZZycOwp	2018	1.11	10	Le mouvement relatif de deux masses d'air autour d'un front froid est :		l'air froid contourne l'air chaud par les côtés	l'air chaud repousse et soulève l'air froid	l'air froid repousse et soulève l'air chaud	l'air chaud repousse l'air froid et passe par-dessus	2	3.2.		True
